icao24,origin_country,velocity,on_ground
4b1819,Switzerland,2.57,True
ac96b8,United States,288.49,False
a57b26,United States,5.4,True
a2e5ec,United States,19.03,True
39de4b,France,199.0,False
39de4a,France,235.05,False
408124,United Kingdom,213.91,False
ade18c,United States,216.63,False
a77ec5,United States,246.63,False
a665b9,United States,198.0,False
801640,India,139.0,False
a57b33,United States,65.02,False
440da5,Austria,79.43,False
3cf0b8,Germany,123.54,False
39de51,France,144.96,False
39de50,France,226.58,False
80162f,India,283.11,False
c02db4,Canada,73.19,False
a678e5,United States,270.21,False
880456,Thailand,72.54,False
a305fd,United States,197.13,False
39de54,France,198.14,False
a58217,United States,133.95,False
a33b4e,United States,74.89,False
4b1803,Switzerland,0.0,True
aa56d8,United States,263.0,False
4b1804,Switzerland,235.08,False
4b1805,Switzerland,0.0,True
4b1806,Switzerland,0.0,True
4b1807,Switzerland,219.91,False
80163d,India,205.38,False
aa56d4,United States,218.96,False
ad4f0b,United States,76.49,False
a438fa,United States,44.8,False
4b1801,Switzerland,190.36,False
408111,United Kingdom,108.54,False
a0928e,United States,55.73,False
800324,India,82.55,False
a3ebe2,United States,7.72,True
4952cc,Portugal,195.55,False
80163f,India,126.62,False
4952cf,Portugal,215.02,False
a36898,United States,12.35,True
a665c5,United States,67.41,True
00b22f,South Africa,233.0,False
880444,Thailand,214.66,False
80160b,India,125.22,False
a5954e,United States,227.52,False
aaa6e4,United States,0.06,True
0d0c18,Mexico,127.39,False
ac96be,United States,214.41,False
ad562a,United States,0.0,True
a1befc,United States,211.46,False
a1c5f4,United States,122.45,False
aa69db,United States,174.82,False
a69b26,United States,39.53,False
a438f1,United States,0.0,True
80160f,India,152.1,False
abc6c1,United States,248.29,False
a21b44,United States,219.42,False
4b181a,Switzerland,94.84,False
4b181b,Switzerland,85.17,False
4b181c,Switzerland,139.49,False
aa56b6,United States,257.79,False
a08b7c,United States,57.25,False
aa56b5,United States,213.96,False
adffa2,United States,199.26,False
a1d8fd,United States,143.1,False
a59574,United States,219.68,False
a6aec4,United States,117.03,False
ad3c27,United States,251.46,False
a9f04b,United States,159.64,False
801627,India,151.44,False
440daf,Austria,227.46,False
801625,India,220.78,False
4952c4,Portugal,114.58,False
a1c5e0,United States,0.0,True
801626,India,230.3,False
a89eb9,United States,64.97,False
4952c6,Portugal,215.72,False
4952c7,Portugal,4.37,True
a33b23,United States,251.02,False
39de46,France,221.6,False
488252,Poland,197.08,False
ae1fae,United States,69.63,False
407a05,United Kingdom,234.17,False
39de45,France,200.12,False
a808bf,United States,0.0,True
ac2f5a,United States,230.52,False
a2ded8,United States,210.1,False
ab63d7,United States,250.65,False
39de49,France,244.06,False
51113f,Estonia,135.31,False
801632,India,146.16,False
ae26a4,United States,56.25,False
a0e249,United States,248.14,False
a33b1e,United States,203.77,False
a46e35,United States,220.86,False
ac2328,United States,203.01,False
39de40,France,231.43,False
80161d,India,105.16,False
acdfc2,United States,79.3,False
80161e,India,193.86,False
39de42,France,228.74,False
a2355d,United States,244.87,False
407a01,United Kingdom,158.32,False
4b180b,Switzerland,204.75,False
8a02d5,Indonesia,235.87,False
511187,Estonia,225.93,False
e8023b,Chile,94.04,False
44028c,Austria,204.98,False
adeca5,United States,267.0,False
ab0356,United States,216.8,False
aad012,United States,248.9,False
adeca0,United States,50.41,False
511189,Estonia,218.94,False
801685,India,185.0,False
ad564b,United States,124.82,False
ac96df,United States,4.63,True
a47597,United States,1.54,True
3c664d,Germany,247.01,False
4bc8c8,Turkey,247.33,False
51116f,Estonia,230.11,False
ad3c1f,United States,220.35,False
4bc8c6,Turkey,256.4,False
4bc8c7,Turkey,259.78,False
e49444,Brazil,234.8,False
4bc8c2,Turkey,28.14,False
3c6663,Germany,201.47,False
ac83c3,United States,142.89,False
ab0361,United States,272.65,False
80167d,India,263.53,False
4952a8,Portugal,70.8,False
c02294,Canada,137.18,False
a1fb99,United States,104.83,False
a2229c,United States,205.75,False
ace6c0,United States,74.66,False
ad3c48,United States,288.75,False
a09da3,United States,185.89,False
abf008,United States,253.07,False
e4944e,Brazil,186.63,False
3c666e,Germany,158.34,False
a3425f,United States,31.65,False
511171,Estonia,215.32,False
511172,Estonia,225.06,False
abb3be,United States,235.04,False
511170,Estonia,207.45,False
acdfcf,United States,72.03,False
a46e8d,United States,263.69,False
8a02ae,Indonesia,233.19,False
aae34c,United States,237.34,False
abb3c3,United States,32.23,False
3cc95a,Germany,177.86,False
a03d21,United States,203.71,False
4bc8d3,Turkey,222.55,False
c0228a,Canada,47.64,False
4bc8d2,Turkey,177.18,False
ad4341,United States,60.37,False
a8e359,United States,41.92,False
80164b,India,136.33,False
a1b2ee,United States,230.03,False
a35592,United States,183.35,False
a39bfa,United States,187.31,False
ad5679,United States,239.84,False
ac101f,United States,210.51,False
a4d83b,United States,56.23,False
471efa,Hungary,205.61,False
a8f681,United States,139.79,False
471eff,Hungary,251.55,False
ad90a3,United States,225.71,False
471efc,Hungary,128.67,False
801661,India,142.37,False
801667,India,192.78,False
a950bf,United States,144.18,False
e80274,Chile,250.92,False
ae631e,United States,139.49,False
40812d,United Kingdom,239.2,False
51118a,Estonia,196.33,False
a34268,United States,153.99,False
44029f,Austria,11.32,True
a34e8a,United States,72.03,False
adecb6,United States,62.77,False
80165a,India,1.03,True
ace6e2,United States,259.59,False
801669,India,189.05,False
aa3199,United States,61.3,False
a2d2cc,United States,91.06,False
408134,United Kingdom,1.03,True
a545c3,United States,94.58,False
a3689e,United States,1.54,True
a46e6a,United States,202.22,False
abf025,United States,69.06,False
801678,India,262.85,False
a950ce,United States,226.94,False
a3b86c,United States,250.52,False
a4c527,United States,250.06,False
801671,India,212.65,False
ac21e4,United States,216.12,False
aa8075,United States,114.77,False
0c4146,Dominican Republic,227.41,False
abad94,United States,158.45,False
4acb41,Sweden,259.23,False
ac7154,United States,191.56,False
4acb43,Sweden,176.24,False
4acb42,Sweden,187.51,False
a69b92,United States,228.33,False
4acb44,Sweden,213.44,False
a4b294,United States,188.9,False
a8a88b,United States,145.68,False
a5e58b,United States,4.74,False
a94b4d,United States,245.65,False
adda24,United States,240.42,False
adda23,United States,99.87,False
abc78c,United States,71.75,False
4b187b,Switzerland,217.97,False
0d0ae8,Mexico,254.97,False
4b187c,Switzerland,83.03,False
a9a215,United States,82.21,False
ade106,United States,41.67,False
3c65ae,Germany,155.5,False
ac21f5,United States,70.63,False
accd69,United States,246.22,False
c02e8f,Canada,189.21,False
